"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","CITY_MARKET_ID","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","UTC_LOCAL_TIME_VARIATION","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
10218,"AHS","Ahuas Airport","Ahuas, Honduras","Honduras","",30218,15,"N",28,22,15.47277778,84,"W",21,11,-84.35305556,"-0600",2017-11-01,2017-11-30,0,0,
10218,"AHS","Auas","Ahuas, Honduras","Honduras","",30218,15,"N",28,22,15.47277778,84,"W",21,11,-84.35305556,"-0600",2017-12-01,,0,1,
10219,"AHT","Amchitka","Amchitka Island, AK","United States","Alaska",30219,51,"N",22,43,51.37861111,179,"E",15,31,179.25861111,"-1000",1950-01-01,,0,1,
10220,"AHU","Cherif El Idrissi International","Al Hoceima, Morocco","Morocco","",30220,35,"N",10,47,35.17972222,3,"W",50,13,-3.83694444,"+0000",1976-12-01,2011-06-30,0,0,
10220,"AHU","Cherif El Idrissi International","Al Hoceima, Morocco","Morocco","",30220,35,"N",10,38,35.17722222,3,"W",50,22,-3.83944444,"+0000",2011-07-01,,0,1,
10221,"AIA","Alliance Municipal","Alliance, NE","United States","Nebraska",30221,42,"N",3,6,42.05166667,102,"W",48,24,-102.80666667,"-0700",1950-01-01,2011-06-30,0,0,
10221,"AIA","Alliance Municipal","Alliance, NE","United States","Nebraska",30221,42,"N",3,12,42.05333333,102,"W",48,14,-102.80388889,"-0700",2011-07-01,2015-03-31,0,0,
10221,"AIA","Alliance Municipal","Alliance, NE","United States","Nebraska",30221,42,"N",3,12,42.05333333,102,"W",48,13,-102.80361111,"-0700",2015-04-01,2017-10-31,0,0,
10221,"AIA","Alliance Municipal","Alliance, NE","United States","Nebraska",30221,42,"N",3,12,42.05333333,102,"W",48,14,-102.80388889,"-0700",2017-11-01,2017-11-30,0,0,
10221,"AIA","Alliance Municipal","Alliance, NE","United States","Nebraska",30221,42,"N",3,12,42.05333333,102,"W",48,13,-102.80361111,"-0700",2017-12-01,,0,1,
10222,"AIB","Anita Bay Airport","Anita Bay, AK","United States","Alaska",30222,56,"N",11,24,56.19000000,132,"W",26,45,-132.44583333,"-0900",1988-06-01,,0,1,
10223,"AID","Anderson Municipal-Darlington Field","Anderson, IN","United States","Indiana",30223,40,"N",6,31,40.10861111,85,"W",36,47,-85.61305556,"-0500",1950-01-01,2005-12-31,0,0,
10223,"AID","Anderson Municipal-Darlington Field","Anderson, IN","United States","Indiana",30223,40,"N",6,31,40.10861111,85,"W",36,47,-85.61305556,"-0500",2006-01-01,,0,1,
10224,"AIK","Aiken Municipal","Aiken, SC","United States","South Carolina",30224,33,"N",39,0,33.65000000,81,"W",41,5,-81.68472222,"-0500",1976-06-01,2011-06-30,0,0,
10224,"AIK","Aiken Municipal","Aiken, SC","United States","South Carolina",30224,33,"N",38,58,33.64944444,81,"W",41,6,-81.68500000,"-0500",2011-07-01,2018-09-30,0,0,
10224,"AIK","Aiken Regional","Aiken, SC","United States","South Carolina",30224,33,"N",38,58,33.64944444,81,"W",41,6,-81.68500000,"-0500",2018-10-01,,0,1,
10225,"AIN","Wainwright Airport","Wainwright, AK","United States","Alaska",30225,70,"N",37,50,70.63055556,160,"W",2,35,-160.04305556,"-0900",1950-01-01,2011-06-30,0,0,
10225,"AIN","Wainwright Airport","Wainwright, AK","United States","Alaska",30225,70,"N",38,17,70.63805556,159,"W",59,41,-159.99472222,"-0900",2011-07-01,,0,1,
